Date,Category,Amount,Description
2024-01-05,Food & Dining,850,Lunch at mess canteen - weekly batch
2024-01-12,Transport,320,Auto rickshaw fare — college to home
2024-01-20,Utilities,699,Mobile data recharge - monthly plan
2024-01-28,Entertainment,499,OTT subscription renewal
2024-02-03,Food & Dining,1200,Birthday dinner with friends
2024-02-10,Shopping,2450,New backpack for college
2024-02-18,Healthcare,550,Pharmacy - vitamins and cold medicine
2024-02-25,Transport,180,Bus pass top-up
2024-03-02,Food & Dining,430,Breakfast - bakery near class
2024-03-08,Utilities,1499,Electricity bill - hostel room
2024-03-15,Entertainment,350,Movie tickets - weekend show
2024-03-22,Shopping,3200,Textbooks and stationery - new semester
2024-04-01,Food & Dining,760,Groceries for the week
2024-04-09,Healthcare,7900,Doctor consultation fee
2024-04-14,Transport,260,Cab to railway station
2024-04-14,Entertainment,299,Music streaming monthly
2024-04-27,Food & Dining,1850,Group project dinner - team of five
2024-05-05,Shopping,7980,Headphones for online classes
2024-05-12,Utilities,750,Internet bill - monthly broadband
2024-05-18,Food & Dining,520,Snacks and cold drinks - study session
